SN,Contract No.,Stock Symbol,Buyer,Seller,Quantity,Rate (Rs),Amount (Rs)
1,2024082903022617,SWMF,-,-,11,875.00,"9,625.00"
2,2024082901027250,SNLI,-,-,12,610.00,"7,320.00"
3,2024082904028543,AKJCL,-,-,45,229.00,"10,305.00"
4,2024082904028542,AKJCL,-,-,181,229.00,"41,449.00"
5,2024082904028541,GHL,-,-,50,240.00,"12,000.00"
6,2024082904028540,GHL,-,-,50,240.00,"12,000.00"
7,2024082904028539,GHL,-,-,300,240.00,"72,000.00"
8,2024082904028538,GHL,-,-,100,240.00,"24,000.00"
9,2024082904028537,GHL,-,-,100,240.00,"24,000.00"
10,2024082904028536,GHL,-,-,320,240.00,"76,800.00"
11,2024082903022616,SJLIC,-,-,70,516.00,"36,120.00"
12,2024082903022615,MDB,-,-,619,749.00,"463,631.00"
13,2024082903022614,MDB,-,-,300,728.00,"218,400.00"
14,2024082903022613,MDB,-,-,50,720.00,"36,000.00"
15,2024082903022612,MDB,-,-,170,720.00,"122,400.00"
16,2024082903022611,MDB,-,-,500,719.00,"359,500.00"
17,2024082903022610,MDB,-,-,61,716.00,"43,676.00"
18,2024082904028535,API,-,-,115,348.00,"40,020.00"
19,2024082905023212,RNLI,-,-,11,525.10,"5,776.10"
20,2024082903022609,PFL,-,-,13,661.00,"8,593.00"
"8,160,881,780.14","19,089,405",,,,,,
21,2024082901027486,KBL,-,-,110,233.00,"25,630.00"
22,2024082901027485,KBL,-,-,135,233.00,"31,455.00"
23,2024082901027484,KBL,-,-,100,233.00,"23,300.00"
24,2024082905023416,PHCL,-,-,300,400.00,"120,000.00"
25,2024082901027483,GBIME,-,-,637,255.90,"163,008.30"
26,2024082901027482,GBIME,-,-,100,255.80,"25,580.00"
27,2024082901027481,GBIME,-,-,17,255.50,"4,343.50"
28,2024082901027480,GBIME,-,-,20,255.40,"5,108.00"
29,2024082901027479,GBIME,-,-,226,255.30,"57,697.80"
30,2024082901027478,NIMB,-,-,355,251.00,"89,105.00"
31,2024082901027477,NIMB,-,-,145,251.00,"36,395.00"
32,2024082904028779,SJCL,-,-,25,357.00,"8,925.00"
33,2024082904028778,SJCL,-,-,375,357.00,"133,875.00"
34,2024082905023415,PHCL,-,-,25,400.00,"10,000.00"
35,2024082903022765,GBBL,-,-,100,469.00,"46,900.00"
36,2024082903022764,CFCL,-,-,20,689.00,"13,780.00"
37,2024082903022763,MDB,-,-,100,706.30,"70,630.00"
38,2024082904028777,NHPC,-,-,300,240.00,"72,000.00"
39,2024082904028776,NHPC,-,-,"1,300",240.00,"312,000.00"
40,2024082904028775,NHPC,-,-,500,240.20,"120,100.00"
"8,224,629,782.24","19,244,113",,,,,,
41,2024082904028774,NHPC,-,-,200,240.60,"48,120.00"
42,2024082904028773,NHPC,-,-,200,240.60,"48,120.00"
43,2024082905023414,HRL,-,-,50,897.00,"44,850.00"
44,2024082904028772,SSHL,-,-,100,238.00,"23,800.00"
45,2024082903022762,SINDU,-,-,10,621.50,"6,215.00"
46,2024082905023413,NRM,-,-,10,487.00,"4,870.00"
47,2024082905023412,NRM,-,-,10,487.00,"4,870.00"
48,2024082905023411,NRM,-,-,110,487.00,"53,570.00"
49,2024082901027476,NIMB,-,-,50,250.90,"12,545.00"
50,2024082901027475,NIMB,-,-,50,250.90,"12,545.00"
51,2024082903022761,KRBL,-,-,40,700.00,"28,000.00"
52,2024082903022760,KRBL,-,-,252,699.70,"176,324.40"
53,2024082903022759,KRBL,-,-,100,699.70,"69,970.00"
54,2024082903022758,KRBL,-,-,854,699.70,"597,543.80"
55,2024082903022757,KRBL,-,-,200,698.90,"139,780.00"
56,2024082905023410,HRL,-,-,50,897.60,"44,880.00"
57,2024082904028771,UPPER,-,-,25,239.90,"5,997.50"
58,2024082903022756,GBBL,-,-,500,469.00,"234,500.00"
59,2024082905023409,HRL,-,-,10,897.60,"8,976.00"
60,2024082905023408,HRL,-,-,135,897.60,"121,176.00"
"8,224,629,782.24","19,244,113",,,,,,
61,2024082905023407,GCIL,-,-,335,540.00,"180,900.00"
62,2024082905023406,GCIL,-,-,92,540.00,"49,680.00"
63,2024082905023405,GCIL,-,-,50,540.00,"27,000.00"
64,2024082905023404,GCIL,-,-,23,540.00,"12,420.00"
65,2024082904028770,LEC,-,-,250,311.00,"77,750.00"
66,2024082905023403,CLI,-,-,339,655.00,"222,045.00"
67,2024082905023402,CLI,-,-,10,655.00,"6,550.00"
68,2024082905023401,CLI,-,-,10,655.00,"6,550.00"
69,2024082905023400,CLI,-,-,10,655.00,"6,550.00"
