S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2024-01-31,134,HBL,Himalayan Bank Limited,204.0000,205.8000,201.8000,202.5000,20790,4215610.1000,203.0000,305.0000,193.0000,2024-01-31T14:59:33.642263,202.5000,161,202.77,43854.65
2,2024-01-31,142,KBL,Kumari Bank Limited,153.8000,153.8000,150.0000,151.8000,270719,40777430.3000,152.9000,198.9000,148.2000,2024-01-31T14:59:59.083068,151.8000,699,150.62,39810.86
3,2024-01-31,145,SBL,Siddhartha Bank Limited,235.0000,240.5000,235.0000,239.0000,59498,14204266.5000,234.9000,300.7000,223.0000,2024-01-31T14:59:54.280404,239.0000,201,238.73,33675.05
4,2024-01-31,147,SHL,Soaltee Hotel Limited,463.1000,468.0000,451.2000,454.0000,94199,43407280.7000,461.2000,536.0000,215.6000,2024-01-31T14:59:58.230193,454.0000,241,460.80,42174.37
5,2024-01-31,148,TRH,Taragaon Regency Hotel Limited,824.0000,824.0000,800.1000,810.0000,9759,7878627.9000,829.0000,979.2000,436.0000,2024-01-31T14:59:59.625251,810.0000,73,807.31,15893.17
6,2024-01-31,149,OHL,Oriental Hotels Limited,783.0000,788.5000,763.0000,770.0000,5669,4414234.0000,798.9000,885.0000,499.0000,2024-01-31T14:59:56.227116,770.0000,45,778.66,8686.30
7,2024-01-31,155,STC,Salt Trading Corporation,5441.7000,5441.7000,5228.0000,5231.0000,787,4160488.4000,5335.0000,5900.0000,3590.0000,2024-01-31T14:59:59.360222,5231.0000,37,5286.51,14588.44
8,2024-01-31,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,665.0000,702.0000,659.0000,659.0000,8311,5549410.2000,662.5000,1035.0000,512.1000,2024-01-31T14:59:43.547203,659.0000,102,667.71,17213.61
9,2024-01-31,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,869.0000,875.0000,867.0000,867.0000,7140,6200281.2000,871.0000,1238.0000,727.0000,2024-01-31T14:59:32.033669,867.0000,116,868.38,25812.08
10,2024-01-31,171,SANIMA,Sanima Bank Limited,246.0000,250.1000,245.0000,246.5000,27296,6718725.1000,247.6000,310.0000,225.5000,2024-01-31T14:59:44.569956,246.5000,205,246.14,33478.46
