SN,Contract No.,Stock Symbol,Buyer,Seller,Quantity,Rate (Rs),Amount (Rs)
1,2024082503060865,ICFC,46,25,44,833.00,"36,652.00"
2,2024082503060864,ICFC,49,25,100,833.10,"83,310.00"
3,2024082503060863,ICFC,48,25,56,834.00,"46,704.00"
4,2024082505045885,HRL,41,77,140,922.00,"129,080.00"
5,2024082505045884,HRL,14,77,30,922.10,"27,663.00"
6,2024082505045883,HRL,94,77,490,922.10,"451,829.00"
7,2024082505045882,HRL,41,77,300,922.20,"276,660.00"
8,2024082505045881,HRL,37,77,40,922.50,"36,900.00"
9,2024082504056542,API,77,39,15,367.00,"5,505.00"
10,2024082505045880,VLUCL,77,50,501,713.60,"357,513.60"
11,2024082505045879,VLUCL,77,38,50,713.60,"35,680.00"
12,2024082505045878,VLUCL,77,16,35,713.60,"24,976.00"
13,2024082505045877,VLUCL,77,22,10,713.50,"7,135.00"
14,2024082505045876,VLUCL,77,42,150,713.00,"106,950.00"
15,2024082505045875,VLUCL,77,58,100,711.00,"71,100.00"
16,2024082505045874,VLUCL,77,34,100,711.00,"71,100.00"
17,2024082505045873,VLUCL,77,42,54,710.00,"38,340.00"
18,2024082504056541,API,50,39,100,367.00,"36,700.00"
19,2024082501055286,MAKAR,4,14,10,551.00,"5,510.00"
20,2024082505045872,CHDC,77,39,10,"1,822.80","18,228.00"
"19,740,593,800.64","42,686,640",,,,,,
21,2024082501055285,KBL,14,46,"1,700",245.00,"416,500.00"
22,2024082501055284,KBL,14,53,300,244.90,"73,470.00"
23,2024082503060862,CORBL,14,32,10,884.00,"8,840.00"
24,2024082501055283,NESDO,62,34,49,"2,454.00","120,246.00"
25,2024082501055282,NESDO,62,57,10,"2,450.00","24,500.00"
26,2024082501055281,NESDO,62,42,41,"2,450.00","100,450.00"
27,2024082501055280,PRVU,22,14,500,266.00,"133,000.00"
28,2024082501055279,TAMOR,59,22,600,531.00,"318,600.00"
29,2024082501055278,KDL,45,22,30,"1,161.00","34,830.00"
30,2024082503060861,NFS,62,74,10,"2,030.00","20,300.00"
31,2024082501055277,ULHC,88,6,10,417.00,"4,170.00"
32,2024082501055276,ADBL,17,88,700,399.00,"279,300.00"
33,2024082501055275,ADBL,52,88,34,399.00,"13,566.00"
34,2024082501055274,BNHC,55,45,108,604.00,"65,232.00"
