SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2024-08-25,"2,894.57","2,990.04","2,885.39",(-79.88),(-2.68 %),"3,000.81","1,826.23","19,460,577,266.80","36,900,652","215,193"
2,2024-08-22,"2,974.46","3,018.93","2,967.47",(6.01),(0.20 %),"3,000.81","1,826.23","18,940,348,129.40","36,217,619","212,709"
3,2024-08-21,"2,968.44","3,002.74","2,943.61",(2.11),(0.07 %),"3,000.81","1,826.23","18,549,058,412.40","35,335,936","209,974"
4,2024-08-18,"2,966.33","3,048.15","2,945.49",(-34.47),(-1.14 %),"3,000.81","1,826.23","28,272,972,107.10","56,851,145","294,089"
5,2024-08-15,"3,000.81","3,036.64","2,975.11",(43.05),(1.45 %),"3,000.81","1,826.23","29,305,205,410.88","59,372,595","305,188"
6,2024-08-14,"2,957.75","2,959.19","2,883.81",(34.29),(1.17 %),"2,957.75","1,826.23","23,167,217,121.05","45,141,902","240,214"
7,2024-08-13,"2,923.46","2,971.69","2,891.43",(-8.18),(-0.27 %),"2,931.65","1,826.23","21,037,515,436.94","41,229,536","236,388"
8,2024-08-12,"2,931.65","2,937.40","2,876.46",(70.81),(2.47 %),"2,931.65","1,826.23","26,809,031,192.34","53,050,643","279,086"
9,2024-08-11,"2,860.84","2,860.96","2,779.24",(94.46),(3.41 %),"2,860.84","1,826.23","25,339,368,663.35","52,046,311","271,222"
10,2024-08-08,"2,766.38","2,811.15","2,744.86",(6.70),(0.24 %),"2,796.38","1,826.23","19,819,695,350.33","39,919,707","207,207"
11,2024-08-07,"2,759.67","2,759.67","2,630.86",(108.35),(4.08 %),"2,796.38","1,826.23","17,692,269,452.40","33,851,146","209,983"
12,2024-08-06,"2,651.32","2,815.94","2,644.85",(-145.05),(-5.18 %),"2,796.38","1,826.23","23,503,207,541.70","47,162,541","268,413"
13,2024-08-05,"2,796.38","2,806.69","2,744.10",(40.76),(1.47 %),"2,796.38","1,826.23","21,697,964,239.90","44,253,223","235,185"
14,2024-08-01,"2,755.62","2,805.57","2,742.53",(-5.29),(-0.19 %),"2,760.91","1,826.23","21,485,233,912.72","41,947,018","226,593"
15,2024-07-31,"2,760.91","2,791.02","2,707.57",(64.26),(2.38 %),"2,760.91","1,826.23","21,718,892,835.93","45,664,392","235,220"
16,2024-07-30,"2,696.65","2,709.89","2,609.02",(35.55),(1.33 %),"2,696.65","1,826.23","17,196,064,136.27","36,574,101","204,754"
17,2024-07-29,"2,661.09","2,737.68","2,655.15",(-20.46),(-0.76 %),"2,681.56","1,826.23","19,440,386,171.90","43,179,452","220,456"
18,2024-07-28,"2,681.56","2,708.58","2,606.40",(113.42),(4.41 %),"2,681.56","1,826.23","15,698,008,049.30","35,161,035","161,627"
19,2024-07-25,"2,568.13","2,572.88","2,518.47",(32.02),(1.26 %),"2,568.13","1,826.23","14,007,516,720.66","29,032,151","157,943"
20,2024-07-24,"2,536.11","2,600.41","2,513.43",(-27.32),(-1.06 %),"2,563.43","1,826.23","16,120,016,718.70","36,611,834","187,199"
21,2024-07-23,"2,563.43","2,563.45","2,469.56",(75.33),(3.02 %),"2,563.43","1,826.23","14,000,530,537.40","33,060,092","169,142"
22,2024-07-22,"2,488.09","2,504.53","2,441.56",(2.15),(0.08 %),"2,488.09","1,826.23","13,836,805,617.52","34,014,953","168,996"
23,2024-07-21,"2,485.94","2,494.71","2,408.25",(61.61),(2.54 %),"2,485.94","1,826.23","15,100,380,593.80","35,999,650","175,290"
24,2024-07-18,"2,424.32","2,459.94","2,355.59",(59.68),(2.52 %),"2,424.32","1,826.23","15,470,486,906.90","37,318,106","183,016"
25,2024-07-17,"2,364.63","2,364.76","2,311.93",(54.04),(2.33 %),"2,364.63","1,826.23","12,004,310,706.60","29,254,788","148,467"
26,2024-07-16,"2,310.59","2,310.84","2,231.83",(70.18),(3.13 %),"2,310.59","1,826.23","9,073,603,372.10","23,896,531","117,756"
27,2024-07-15,"2,240.41","2,288.16","2,231.69",(-17.18),(-0.76 %),"2,257.59","1,826.23","8,637,613,243.80","22,779,918","101,183"
28,2024-07-14,"2,257.59","2,290.95","2,230.50",(52.97),(2.40 %),"2,257.59","1,826.23","7,323,864,838.30","17,657,205","95,188"
